nwt	New With Tags
cos	Change Of Subject -or- it means because
unt	Until Next Time
cot	Circle Of Trust
dord	Department Of Redundancy Department
ili	I Love It
fng	F***ing New Guy
ilu	I Love You
cod	Change Of Dressing
unf	Universal Noise of Fucking
pita	Pain In The Ass
col	Chuckle Out Loud -or- Chortling Out Loud
coo	short for cool
ily	I Love You
cuz	Because
bbsl	Be Back Sooner or Later
bbsd	Be Back Soon Darling
wmpl	Wet My Pants Laughing
mcm	Man Crush Monday
lifo	Last In, First Out
kotl	Kiss On The Lips
obtw	Oh By The Way
cuns	See You In School
kotc	Kiss On The Cheek
cunt	See You Next Time -or- Can't Understand Newest Text
gns	GangNam Style
ihnc	I Have No Clue
cul	See You Later
rtbm	Read The Bloody Manual
wfm	Works For Me
slt	Something Like That
prw	Parents Are Watching
ihno	I Have No Opinion
slm	See Last Mail
dkdc	Don't Know Don't Care
aih	As It Happens
rtbs	Reason To Be Single
ij	Inside Joke
im	Instant Messaging -or- Immediate Message
ic	Independant Contractor -or- In Character -or- I See
id	IDentification
bhof	Bald Headed Old Fart
kir	Keep It Real
wycm	Will You Call Me?
kit	Keep In Touch
ayor	At Your Own Risk
kia	Killed In Action
aisb	As I Said Before
aise	As I Said Earlier
thx	or TX or THKS Thanks
aisi	As I See It
nvng	Nothing Ventured, Nothing Gained
om	Old Man
drib	Don't Read If Busy
hak	Hugs And Kisses
hhfo	Hell Has Frozen Over
hay	How Are You?
yoyo	You're On Your Own
mkop	My Kind Of Place
har	Hit And Run
poak	Passed Out At Keyboard
bnf	Big Name Fan
maya	Most Advanced Yet Accessible
rnn	Reply Not Necessary
rny	it means rainy
vim	Very Important Member
snny	it means sunny
bdoa	Brain Dead On Arrival
www	World Wide Web -or- World Wide Wait -or- What Went Wrong
olo	Only Laughed Once
dwym	Does What You Mean
afgo	Another F***ing Growth Opportunity
gypo	Get Your Pants Off
cnp	Continued in Next Post
fos	Full Of Sh**
ykw	You Know What?
fob	the name for a tool, or form of ID
foc	Free of Charge
fol	Fond of Leather
icw	I Can't Wait
plu	People Like Us
pls	Please
plz	Please
plo	Peace, Love, Out
peep	People Engaged and Empowered for Peace
emp	Eat My Pussy
obo	Or Best Offer
plos	Parents Looking Over Shoulder
tayn	Thinking About You Now
obe	Overcome By Events
plur	Peace, Love, Unity, Respect
lhos	Lets Have Online Sex
mbn	Must Be Nice
sob	Son Of a B*tch
soe	Start Of Exams
soh	Sense Of Humor
sok	it's ok
sol	Sh** Out of Luck -or- Sooner Or Later
ppl	People -or- Pay-Per-Lead -or- Pay Per Lead
sos	Same Old Sh** -or- help
sow	Speaking Of Which -or- Statement Of Work
cuol	See You OnLine
lwu	Laughing With You
dewd	dude
wai	What An Idiot
sfb	Sh** For Brains
omdb	Over My Dead Body
wad	Without A Doubt
cwot	Complete Waste Of Time
gic	Gift In Crib
waw	Waiter/Actor/Webmaster -or- What A Whore
was	What A Slut
inmp	It's Not My Problem
yolo	You Only Live Once
oll	OnLine Love
fdff	Falling Down F***ing Funny
ford	Found On Road Dead, Fixed Or Repaired Daily, F***ed Over Rebuilt Dodge
oln	OnLine Netiquette
somf	Sit On My Face
somy	Sick Of Me Yet
rmlb	Read My Lips Baby
wag	Wild Ass Guess -or- Wives And Girlfriends
mtf	More To Follow
kwim	Know What I Mean?
vwp	Very Well Played
shid	Slap Head In Disgust
qix	it means quick
vwd	Very Well Done
elol	Evil Laugh Out Loud
iyam	If You Ask Me
shit	Sugar Honey Ice Tea
nh	Nice Hand
ni	Not Interested
nm	Never Mind -or- Nothing Much -or Not Much -or- Nice Move
no	praw no problem
na	Nice Ass
nb	Nota Bene
nd	No Date
ne	Any
ng	New Game
cyoh	Create Your Own Happening
nr	Nice Roll
ns	Nice Set -or- No Show
tia	Thanks In Advance
nw	No Way
^urs	Up Yours
vcda	Vaya Con Dios, Amigo
pwcb	Person Will Call Back
iyss	If You Say So
dgyf	Damn Girl You're Fine
mpfb	My Personal F*** Buddy
fsr	For Some Reason
fsu	F*** Sh** Up
time	Tears In My Eyes
smem	Send Me E-Mail
gowi	Get On With It
ost	On Second Thought
llt	Looks Like Trouble
milf	Mother I'd Like to F***
ror	Raffing Out Roud (in scooby-doo dialect)
yvw	You're Very Welcome
veg	Very Evil Grin
gigo	Garbage In, Garbage Out
dhyb	Don't Hold Your Breath
lrf	Little Rubber Feet
byki	Before You Know It
bykt	But You Knew That
word	it means cool, a.k.a. word up
hoic	Hold On, I'm Coming
gud	Geographically UnDesirable
jho	Just Helping Out
dic	Drunk In Charge
diy	Do It Yourself
tftc	Thanks For The Cache
pmp	Peeing My Pants
htb	Hang The Bastards
ruh	Are You Horny?
hth	Hope This (or That) Helps
pmbi	Pardon My Butting In
pml	Pissing Myself Laughing
zzz	Sleeping, Bored, Tired
ssia	Subject Says It All
ufn	Until Further Notice
wndy	it means windy
addy	address
bm	Byte Me
nagi	Not A Good Idea
gawd	God
bo	Bug Off -or- Body Odor
gggg	God, God, God, God
stml	Short Term Memory Loss
hbo	Helping a Brother Out
altg	Act Locally, Think Globally
hbb	Hip Beyond Belief
nino	Nothing In, Nothing Out -or- No Input, No Output
bon	Believe it Or Not
hbu	How Bout You?
bob	Battery Operated Boyfriend
bod	Benefit of the Doubt -or- Board Of Directors
love	Lots Of Voluntary Effort
fdgb	Fall Down Go Boom
ipn	I'm Posting Naked
hnti	How Nice That/This Is
hntw	How Nice That Was
fbi	F***ing Brilliant Idea -or- Female Body Inspector
ayk	As You Know
gfon	Good For One Night
ayc	Aren't You Clever -or- Aren't You Cheeky
rut	Are You There?
atwd	Agree That We Disagree
msg	Message
ayv	Are You Vertical?
oof	Out Of Facility
ooc	Out Of Character -or- Out Of Control
advd	Advised
ooo	Out Of Office -or- Out Of Commission
ooi	Out Of Interest
oot	Out Of Touch
oos	Out Of Stock
jad	Just Another Day
ctfu	Cracking The F*** Up
ibk	Idiot Behind Keyboard
cas	Crack A Smile
ctfd	Calm The F*** Down
ctfo	Come The F*** On
ibt	In Between Technology
muah	or MWAH The sound of a kiss
spk	it means speak
?^	Hook up?
wwno	Walker Wheels Need Oil
fpo	For Placement Only
cmap	Cover My Ass Partner
nyc	Not Your Concern
tilf	Teacher I'd Like to F***
aob	Abuse Of Bandwidth
ryo	Roll Your Own
aon	Apropos Of Nothing
atab	Ain't That A Bitch
tbt	Throwback Thursday
aor	Agency On Record -or- Album-Oriented Rock
sfla	Stupid Four Letter Acronym
spoc	Single Point Of Contact
riyl	Recommended If You Like
tbh	To Be Honest
lafw	Listening (but) Away From Window
hsik	How Should I Know
sj	Strong Jaws
sh	Sh** Happens
so	Significant Other
sn	Side Note
sm	Senior Moment
sl	Second Life
sc	Stay Cool
ghm	God Help Me
sf	Surfer Friendly -or- Science Fiction
lsb	Life Sucks Balls
usc	Up Sh** Creek
tts	Text To Speech
ttt	That's The Ticket -or- To The Top -or- Thought That Too
lsv	Language, Sex, Violence
wddd	Woopie Doo Da Dey
tta	Tap That Ass
ttg	Time to Go
hoha	HOllywood HAcker
jic	Just In Case
gtg	Got To Go
gth	Go To Hell
gtk	Good To Know
gtl	Gym, Tan, Laundry
gtm	Giggle To Myself
gts	Google That Sh**
nimq	Not In My Queue
djm	Don't Judge Me
aymm	Are You My Mother
b@u	or BAK@U Back at You
noa	Not Online Anymore
bmoc	Big Man On Campus
noy	Not Online Yet
kkk	it means "over" as in, waiting for your reply
sht	it means so hot
witw	What In The World
shhh	quiet
cqrt	Security
nos	New Old Stock -or- Not Outside Sales
sop	Standard Operating Procedure
tnt	Til Next Time
joml	Jesus On the Main Line
dfla	Disenhanced Four-Letter Acronym (that is, a TLA)
kync	Keep Your Nose Clean
rtfm	Read The F***ing Manual
sot	Short On Time
em	Excuse Me
el	Evil Laugh
ee	or EEs Employee -or- Employees
ed	Erectile Dysfunction
eg	Evil Grin
ez	Easy
wwy	Where Were You?
bplm	Big Person Little Mind
shb	Should Have Been
hcc	Holy Computer Crap
sgtm	Sounds Good To Me
lmp	Lick My Pussy
lms	Like My Status -or- Learning Management System
fwot	F***ing Waste Of Time
lmk	Let Me Know
wak	What A Kiss
xxcc	Kiss, Kiss, Hug, Hug
gafl	Get A F***ing Life
mos	Mom Over Shoulder
nuff	Enough
degt	Don't Even Go There
rtss	Read The Screen Stupid
xoxo	Hugs and Kisses
tftu	Thanks For The Update
rino	Republican In Name Only
rtsm	Read The Silly Manual
lwys	Look What You Started
yic	Yours In Christ
iae	In Any Event
bitd	Back In The Day
iac	In Any Case -or- I Am Confused -or- If Anyone Cares
yiu	Yes, I Understand
fml	F*** My Life
iat	I Am Tired
iaw	I Agree With -or- In Accordance With
hud	How You Doing?
hua	Heads Up Ace -or- Head Up Ass -or- Heard, Understood, Acknowledged
poms	Parent Over My Shoulder
huh	what
alap	As Late As Possible
mtbf	Mean Time Before Failure
pnd	Possibly Not Definitely -or- Personal Navigation Device
j/p	Just Playing
j/w	Just Wondering
slaw	Sounds Like A Winner
emea	Europe, the Middle East, and Africa
slap	Sounds Like A Plan
prt	Partial ReTweet -or- Party
**//	it means wink wink, nudge nudge
j/c	Just Checking
j/j	Just Joking
j/k	Just Kidding
gnoc	Get Naked On Cam
j/o	Jerking Off
taks	That's A Knee Slapper
wcw	Woman Crush Wednesday
imoo	In My Own Opinion
wca	Who Cares Anyway
omfg	Oh My F***ing God
fcs	First Customer Ship
tbyb	Try Before You Buy
mrm	Men's Rights Movement
gidk	Gee I Don't Know
sohf	Sense Of Humor Failure
mra	Moving Right Along
troo	true
tko	Technical Knock Out
ltnt	Long Time, No Type
ltns	Long Time No See
ysic	Why Should I Care?
ddas	Don't Do Anything Stupid
nll	Nice Little Lady
woot	We Own the Other Team
xme	Excuse Me
woof	Well Off Older Folks
ntmu	Nice To Meet You
slom	Sticking Leeches On Myself
fubb	F***ed Up Beyond Belief
ssa	Ass Backwards
ssc	Super Sexy Cute
iuri	If You Are Interested
xqzt	Exquisite
pimp	Peeing In My Pants
ytb	You're The Best
llom	Like Leno on Meth
pwms	playing with myself
rmb	Rings My Bell
ur	you are
dtrt	Do The Right Thing
ambw	All My Best Wishes
wayn	Where Are You Now?
gtrm	Going To Read Mail
wayd	What Are You Doing?
gnsd	Good Night Sweet Dreams
jt	Just Teasing
caac	Cool As A Cucumber
jw	Just Wondering
jp	Just Playing
ibrb	I'll Be Right Back
ywia	You're Welcome In Advance
jk	Just Kidding
jc	Just Curious -or- Just Chilling -or- Jesus Christ
ousu	Oh You Shut Up
jfi	Just For Information
jfh	Just F*** Her
gwi	Get With It
imi	I Mean It
gws	Get Well Soon
twd	Texting While Driving
pov	Point Of View
eadd	Entrepreneurial Attention Deficit Disorder
pos	Parent Over Shoulder -or- Piece Of Sh**
pop	Photo On Profile, Point Of Purchase/Presence, Post Office Protocol
mejr	My Eyes Just Rolled
fttb	For The Time Being
ttmf	Ta Ta MOFO
hbtu	Happy Birthday To You
dyfm	Dude You Fascinate Me
oaus	On An Unrelated Subject
ims	I Am Sorry
lmso	Laughing My Socks Off
fif	F*** I'm Funny
bmf	Bad Mother F***er
gist	Great Ideas for Starting Things
bms	Baby Making Sex
bmw	B*tch, Moan, Whine
ljbf	Let's Just Be Friends
eip	Eggo Is Preggo
s^	what's up?
sex	Sun Users' Group -or- ALL CAPS for sex
hhis	Hanging Head In Shame
soic	So I See
ym	Your Mother
frzn	it means freezing
paw	Parents Are Watching
pax	Passengers
afdn	Any F***ing Day Now
nnr	Need Not Respond
pal	Parents Are Listening -or- Peace And Love
foaf	Friend Of A Friend
foag	F*** Off And Google
foad	F*** Off And Die
oic	Oh, I See
nn	Not Now -or- Need
yhm	You Have Mail
nsb	Not Sure But
gqmf	Gentleman's Quarterly Mother F***er
nc	Nice Crib
gdw	Grin, Duck and Wave
ya	yaya Yet Another Ya-Ya (as in yo-yo)
fumf	Fat Ugly Mother F***er
tobg	This Oughta Be Good
reso	Reservation
gdi	God Damn It -or- God Damn Independent
idky	I Don't Know You
twit	That's What I Thought
swim	See What I Mean?
embm	Early Morning Business Meeting
ditr	Dancing In The Rain
ama	Ask Me Anything
idk,	my BFF Jill I Don't Know, my Best Friend Forever Jill
mop	MOment Please
amf	Adios Mother F***er
awol	Absent Without Leave
moo	Mud Object-Oriented -or- Matter Of Opinion -or- My Opinion Only
unpc	unPolitically Correct
mob	it means mobile
mof	Matter Of Fact
swis	See What I'm Saying
deti	Don't Even Think It
wbu	What 'Bout You?
wbs	Write Back Soon
ynk	You Never Know
stby	Sucks To Be You
gjp	Good Job Partner
sic	Spelling Is Correct
tic	Tongue In Cheek
wttm	Without Thinking Too Much
vrbs	Virtual Reality Bull Sh**
itfa	In The Final Analysis
glbt	Gay, Lesbian, Bisexual, Transgender
tstb	The Sooner, The Better
lmoa	Left a Message On your Answering machine
mooc	Massive Open Online Course
aoyp	Angel On Your Pillow
kma	Kiss My Ass
moos	Member Of The Opposite Sex
cu	See You -or- Cracking Up
kmp	Keep Me Posted
cxo	Chief insert title here Officer
ddg	Drop Dead Gorgeous
nmu	Not Much, You?
nmp	Not My Problem
asap	As Soon As Possible
wtmi	Way Too Much Information
nmh	Not Much Here
oo	Over and Out
ntbn	No Text Back Needed
ol	Old Lady
ok	okay -or- all correct
ace	Access Control Entry
acd	Alt Control Delete
ack	Acknowledgement
of	Old Fart
oc	Original Character -or- Own Character
ob	Obligatory
lpos	Lazy Piece Of Sh**
ot	Off Topic
gtgb	Got To Go Bye
wadr	With All Due Respect
wadi	What A Dumb Idea
dpup	Don't Poop Your Pants
gtgp	Got To Go Pee
lob	Lying On Bed
lok	Lots Of Kisses
lol	WUSS Laugh Out Loud With Unintentional Snort Sound
ymal	You Might Also Like
ymak	You May Already Know
lou	Laughing Over You
pwas	Prayer Wheels Are Spinning
yaf	Young Angry Female
jsyk	Just So You Know
iwsn	I Want Sex Now
cbb	Can't Be Bothered
ab	Ass Backwards -or- Ah Bless
cbf	Can't Be F***ed
cbj	Covered Blow Job
cbm	Covered By Medicare
as	Ape Sh** -or- Another Subject
ar	Action Required
filf	Father I'd Like to F***
ax	it means across
urws	You Are Wise
tsnf	That's So Not Fair
ru	Are You?
tbiu	The Bitch Is Ugly
ftr	For The Record
twhe	The Walls Have Ears
nss	No Sh** Sherlock
ssdd	Same Sh** Different Day
cpg	Consumer Packaged Goods
d/c	disconnected
adad	Another Day Another Dollar
ptl	Praise The Lord
pth	Prime Tanning Hours
alw	Ain't Life Wonderful
t@yl	Talk At You Later
mvto	it means thank you
ptp	Pardon The Pun
imml	I Make Myself Laugh
ty	Thank You
tt	Big Tease
tu	Toes Up (as in dead)
ts	Tough Sh** -or- Totally Stinks
tp	Team Player -or- TelePort -or- Thanks Pal -or- Toilet Paper
to	go nookleer to explode
tm	Trust Me
tk	To Come
tf	Too Funny
wwjd	What Would Jesus Do?
otw	Off The Wall -or- Otherwise
tb	Titty Bar
tc	Take Care
fay	F*** All Y'all
ium	If You Must
fap	F***ing A Pissed
smh	Shaking My Head
fav	Favorite
fah	F***ing A Hot
uwm	You Want Me
fab	Features Attributes Benefits
faf	Find A Friend
sme	Subject Matter Expert
gg	Good Game -or- Gotta Go -or- Giggling
wabi	What A Bright Idea
wsu	What Say You?
t+	it means think positive
scnr	Sorry, Could Not Resist
pbb	Parent Behind Back
sanm	Starting A New Message
bwtm	But Wait, There's More
pbj	Peanut Butter and Jelly -or- Pretty Boy Jock
nbs	No Bull Sh**
idts	I Don't Think So
gn	Good Night
zerg	To gang up on someone
nbg	No Bloody Good
idta	I Did That Already
nbd	No Big Deal
otoh	On The Other Hand
abc	Always Be Creating -or- Collaborating -or- Communicating
sub	Shut Up Bitch
diaf	Die In A Fire
abk	Always Be Knolling
onna	Oh No, Not Again
sup	what's up?
c-t	City
c-p	Sleepy
tcoy	Take Care Of Yourself
ggp	Gotta Go Pee
imco	In My Considered Opinion
ggy	Go Google Yourself
gga	Good Game All
tlgo	The List Goes On
ggn	Gotta Go Now
fwd	Forward
@+	French equivalent of CUL8R
loml	Love Of My Life
fwb	Friends With Benefits
ifu	I F***ed Up
mfic	Mother F***er In Charge
llap	Live Long and Prosper
mmk	mmm ok
vip	Very Important Person
viv	Very Important Visitor
smao	Sweating My Ass Off
dgaf	Don't Give A F***
kmim	Keep Me In Mind
sbug	Small Bald Unaudacious Goal
twu	That's What's Up
morf	Male or Female
mirl	Meet In Real Life
dey	they
jdi	Just Do It
h/o	Hold On
dem	them
h/p	Hold Please
def	Definitely
fsbo	For Sale By Owner
ps	Post Script
wlu	Wicked, Love You
myob	Mind Your Own Business
bffn	Best Friends For Now
hhh	Hip Hip Hooray
pona	Person Of No Account
iono	I Don't Know
csl	Can't Stop Laughing
csn	Chuckle, Snicker, Grin
nwal	Nerd Without A Life
pp	Personal Problem
csa	Cool Sweet Awesome
rys	Read Your Screen
hugz	Hugs
fs	For Sale
gtfo	Get The F*** Out
bka	Better Known As
wytb	Wish You The Best
rbay	Right Back At You
fb	F*** Buddy -or- FaceBook
ofap	Old Fart At Play
fe	Fatal Error
ff	Friends Forever
waef	When All Else Fails
fo	F*** Off
lho	Laughing Head Off
lhm	Lord Have Mercy
lhk	Love Hugs Kisses
lhu	Let's Hook Up
pans	Pretty Awesome New Stuff
itm	In The Money
swl	Screaming With Laughter
atsl	Along The Same Line
fft	Food For Thought
ffs	For F*** Sake
icbw	I Could Be Wrong
ita	I Totally Agree
atst	At The Same Time
its	A D8 It's A Date
ffa	Free For All
xtc	Ecstasy
wtdb	What's The Difference Between
ptmm	Please Tell Me More
wrm	it means warm
wrt	With Regard To -or- With Respect To
wru	where are you?
omwt	On My Way Too
pcm	Please Call Me
good	job Get Out Of Debt job
lmta	Like Minds Think Alike
lmtc	Left a Message To Contact
yb	You B*tch
yf	Wife
foot	F*** Off Over There -or- go away
ys	You Stinker
yr	Yeah Right -or- you -or- your
yw	You're Welcome
iinm	If I'm Not Mistaken
aimp	Always In My Prayers
ygbk	You Gotta Be Kidding
gfy	Good For You -or- Go F*** Yourself -or- Go Find Yourself
jdmj	Just Doing My Job
gfr	Grim File Reaper
fish	First in, Still Here
gwot	Glorified Waste Of Time
gfi	Go For It
gfn	Gone For Now
tafn	That's All For Now
gff	Go F***ing Figure
pwnt	owned
lola	Laugh Out Loud Again
kypo	Keep Your Pants On
ftw	For The Win -or- F*** The World
faql	Frequently Asked Questions List
ftc	Failure To Communicate
fte	Full Time Employee
ftf	F*** That's Funny -or- Face To Face
lolz	Lots Of Laughs
ftl	Faster Than Light
ftn	F*** That Noise
ntb	Not Too Bright
rlco	Real Life Conference
duna	Don't Use No Acronyms
mml	Made Me Laugh
sbi	Sorry 'Bout It
asl	Age/Sex/Location
imru	I Am, Are You?
wtfh	What The F***ing Hell
omik	Open Mouth, Insert Keyboard
fcol	For Crying Out Loud
bhag	Big Hairy Audacious Goal
cupl	Couple
dink	Double Incomes, No Kids
phs	Pointy Haired Stupidvisor
dinr	Dinner
kok	Knock
dfu	Don't F*** Up
esad	Eat Sh** And Die
tfm	Thanks From Me
llta	Lots and Lots of Thunderous Applause
tfh	Thread From Hell
ofc	of course
qls	Reply
tfx	Traffic
tfs	Thanks For Sharing -or- Three Finger Salute
ncg	New College Graduate
dtk	Down To Kill
sta	Short Term Attitude
dtc	Deep Throaty Chuckle
stm	Spank The Monkey
sth	something
aak	Asleep At Keyboard
stw	Search The Web
aas	Alive And Smiling
aar	At Any Rate
kybc	Keep Your Bum Clean
tfn	Thanks For Nothing -or- Til Further Notice
aimb	As I Mentioned Before
wafs	Warm And Fuzzies
bhg	Big Hearted Guy -or- Big Hearted Girl
wafu	What A F*** Up
wafm	What A F***ing Mess
wafb	What A F***ing Bitch
tyvm	Thank You Very Much
lig	Let It Go
lib	Lying In Bed
fyeo	For Your Eyes Only
cofs	Church of Scientology
eft	Electronic Funds Transfer
lir	Let It Rest
lis	Laughing In Silence
buff	Big Ugly Fat F***
kab	Kick Ass Bitch
watn	Where Are They Now
wati	What A Terrible Idea
gilf	Grandmother I'd Like to F***
jsu	Just Shut Up
rhk	RoundHouse Kick
amap	As Many As Possible -or- As Much As Possible
moss	Member(s) Of The Same Sex
wym	What do You Mean?
gbtw	Get Back To Work
kb	Kick Butt
nnww	Nudge, Nudge, Wink, Wink
tpc	The Phone Company
kk	Kiss Kiss -or- OK
sbta	Sorry, Being Thick Again
ko	Knocked Out
ks	Kill Stealer
tpt	Trailor Park Trash
cof$	Church of Scientology
golf	Grateful Of Lovely Family -or- Friends
rtb	Returning To Base
rtm	or RTFM Read The Manual -or- Read The F***ing Manual
rth	Release The Hounds
rtk	Return To Keyboard
ootb	Out Of The Box -or- Out Of The Blue
ootc	Obligatory On Topic Comment
stfu	Shut The F*** Up
rts	Read The Screen
yct	Your Comment To
fine	F***ed up, Insecure, Neurotic, Emotional -or- F*** It Never Ends
jtou	Just Thinking Of You
bfg	Big F***ing Gun
bff	Best Friends Forever -or- Best Friend's Funeral
bfe	Bum F*** Egypt
bfd	Big F***ing Deal -or- Big F***ing Disaster
bfn	Bye For Now
jtol	Just Thinking Out Loud
ief	It's Esther's Fault
